DAP,RTP
22.31,21.21
22.31,28.02
22.31,26.12
22.31,23.5
22.31,20.31
22.31,21.11
22.31,20.75
22.31,20.23
22.31,20.22
22.31,23.5
21.3,21.93
21.3,17.79
21.3,17.75
21.3,17.72
21.3,20.69
21.3,21.02
21.3,21.02
21.3,21.64
21.3,21.64
21.3,23.49
21.3,17.7
21.3,28.03
21.24,27.23
21.24,26.59
21.24,17.68
21.24,24.23
21.24,23.89
21.24,23.82
21.24,5.18
21.24,23.82
21.24,23.82
21.24,23.82
21.24,23.82
21.24,3.42
21.51,29.91
21.51,26.6
21.51,20.42
21.51,23.68
21.51,26.17
21.51,22.19
21.51,20.94
21.51,22.87
21.51,26.34
21.51,26.62
21.51,29.88
21.51,16.16
23.9,21.63
23.9,22.52
23.9,20.52
23.9,23.86
23.9,22.61
23.9,20.92
23.9,20.67
23.9,21.64
23.9,21.18
23.9,21.64
23.9,26.59
23.9,19.54
27.69,24.7
27.69,25.22
27.69,21.9
27.69,23.9
27.69,23.93
27.69,23.68
27.69,23.94
27.69,20.92
27.69,26.65
27.69,29.8
27.69,27.43
27.69,26.61
29.18,24.75
29.18,25.31
29.18,24.8
29.18,26.24
29.18,25.75
29.18,25.64
29.18,25
29.18,24.99
29.18,25.01
29.18,25.86
29.18,25.38
29.18,26.65
30.61,27.91
30.61,27.91
30.61,28.41
30.61,27.89
30.61,27.67
30.61,27.65
30.61,27.41
30.61,27.29
30.61,26.41
30.61,26.15
30.61,25.92
30.61,25.41
29.55,25.39
29.55,26.38
29.55,25.91
29.55,25.89
29.55,25.65
29.55,24.92
29.55,24.89
29.55,24.62
29.55,24.87
29.55,22
29.55,22
29.55,22.09
28.34,24.63
28.34,21.88
28.34,24.63
28.34,24.63
28.34,21.86
28.34,21.88
28.34,23.71
28.34,21.86
28.34,21.78
28.34,21.84
28.34,21.63
28.34,21.46
27.41,21.43
27.41,21.62
27.41,21.63
27.41,21.65
27.41,21.61
27.41,21.59
27.41,21.57
27.41,21.58
27.41,21.55
27.41,21.6
27.41,24.61
27.41,21.57
25.48,21.59
25.48,21.59
25.48,21.46
25.48,21.38
25.48,21.3
25.48,21.28
25.48,21.3
25.48,21.43
25.48,21
25.48,20.98
25.48,21.1
25.48,21.26
24.64,21.22
24.64,21.26
24.64,21.01
24.64,21.2
24.64,21.28
24.64,21.26
24.64,21.28
24.64,21.43
24.64,20.95
24.64,18.04
24.64,18.01
24.64,21.21
24.52,21.41
24.52,21.5
24.52,21.3
24.52,18.25
24.52,18.27
24.52,21.3
24.52,21.39
24.52,21.37
24.52,21.43
24.52,21.58
24.52,21.62
24.52,21.7
24.22,24.65
24.22,24.63
24.22,24.65
24.22,24.02
24.22,23.93
24.22,24.63
24.22,24.65
24.22,25.16
24.22,25.09
24.22,24.65
24.22,24.15
24.22,23.98
30.65,25.16
30.65,28.69
30.65,25.16
30.65,24.68
30.65,24.68
30.65,25.68
30.65,26.46
30.65,27.22
30.65,25.18
30.65,25.2
30.65,28.1
30.65,21.77
38.95,24.65
38.95,24.65
38.95,27.72
38.95,41.64
38.95,41.64
38.95,41.68
38.95,41.68
38.95,34.35
38.95,30.26
38.95,26.65
38.95,26.16
